<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DESC>,<NTYPE>,<DATE>,<CONTACT>,<SETASIDE>
MASS PARKING APRON REPAIR,,17,,Department of the Army,Attn:  CENWO- CTr1616 Capitol Ave Omaha NE 68102-4901,US,58704,<MOD>,Y,237310,0bb80257-8a77-11e7-89d0-1cc1de329608,W9128F17R0054,https://www.fbo.gov/spg/USA/COE/DACA45/W9128F17R0054/listing.html,U.S. Army Corps of Engineers,"USACE District, Omaha",68102-4901,082817,Link To Document,PRESOL,0822,"Donna R.Larson, Contract Specialist, Phone 4022903692, Email donna.r.larson@usace.army.mil - Denise M. Cramer, Contracting Officer, Phone 4029952057, Email Denise.M.Cramer@usace.army.mil",N/A
Lease of Office Space for 2020 Area Census Offices x96 Atlanta,,17,,General Services Administration,"77 Forsyth Street, SW Atlanta GA 30303-3427",,,<MOD>,X,531120,0bb80238-8a77-11e7-89d0-1cc1de329608,17-CENSUS-7GA2236,https://www.fbo.gov/spg/GSA/PBS/4PE/17-CENSUS-7GA2236/listing.html,Public Buildings Service (PBS),R4 Leasing Division (47PE99),30303-3427,090717,Link To Document,SRCSGT,0822,"Johnetta A Regal, Lease Contracting Officer, Phone 4045620864, Email johnetta.regal@gsa.gov - Tarra Powell, Phone 404-562-0729, Email tarra.powell@gsa.gov",
Notice of a Solicitation for proposals for a new concession contract to operate visitor services at Crater Lake National Park and Oregon Caves National Monument and Preserve,,17,,Department of the Interior,12795 West Alameda ParkwayPost Office Box 25287 Denver CO 80225-0287,US,,<MOD>,M,713990,0bb80215-8a77-11e7-89d0-1cc1de329608,CRLA004-18,https://www.fbo.gov/spg/DOI/NPS/APC-IS/CRLA004-18/listing.html,National Park Service,NPS - All Offices,80225-0287,112117,Link To Document,PRESOL,0822,"Kimberley Gagliolo, Commercial Services Specialist, Phone (415) 623-2227, Email kim_gagliolo@nps.gov - Sue Eibeck, Commercial Services Specialist, Email sue_eibeck@nps.gov",N/A
6TX0756,,17,,General Services Administration,819 Taylor Street Fort Worth TX 76102,,,<MOD>,X,531190,0bb80242-8a77-11e7-89d0-1cc1de329608,6TX0756,https://www.fbo.gov/spg/GSA/PBS/7P/6TX0756/listing.html,Public Buildings Service (PBS),R7 Realty Services (7P),76102,090817,Link To Document,PRESOL,0822,"Kobie J. Stroman, Leasing Specialist, Phone (817) 978-4449, Email kobie.stroman@gsa.gov",
Visual Affects Blanket Purchase Agreement,,17,,Department of the Army,696 Virginia Road Concord MA 01742-2751,US,01742,<MOD>,T,541922,0bb80253-8a77-11e7-89d0-1cc1de329608,W912WJ17A0009,https://www.fbo.gov/spg/USA/COE/DACA33/W912WJ17A0009/listing.html,U.S. Army Corps of Engineers,"USACE District, New England",01742-2751,082517,Link To Document,PRESOL,0822,"Jennifer Samela, Phone 978-318-8324, Email jennifer.m.Samela@usace.army.mil",Total Small Business
Z--Painting the Lamar Bathhouse.,10312017,17,,Department of the Interior,"NPS, MWR - Missouri MABO11 North 4th StreetSt LouisMO63102US",USA,71901,<MOD>,Z,238320,0bb8020c-8a77-11e7-89d0-1cc1de329608,P17PS01399,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS01399/listing.html,National Park Service,NPS - All Offices,63102,083017,Link To Document,PRESOL,0822,"Hause, Neal",Service-Disabled Veteran-Owned Small Business
71--Office Furniture,02042018,17,,Department of the Navy,"700 Robbins Ave, Philadelphia, PA 19111",US,19112,<MOD>,71,,0bb80228-8a77-11e7-89d0-1cc1de329608,N4215817RC70597,https://www.fbo.gov/spg/DON/NAVSUP/N00189/N4215817RC70597/listing.html,Naval Supply Systems Command,NAVSUP Fleet Logistics Center Norfolk,22030,080817,Link To Document,PRESOL,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
UAV Maintenance Groups 1-4,,17,,Department of the Navy,Building 441r21983 Bundy Road Unit 7 Patuxent River MD 20670,US,20684,<MOD>,J,488190,0bb8021d-8a77-11e7-89d0-1cc1de329608,N00421-17-R-0065,https://www.fbo.gov/spg/DON/NAVAIR/N00421/N00421-17-R-0065/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Pax River,20670,083117,Link To Document,SRCSGT,0822,"Kate McKeown, Contract Specialist, Phone 3019952683, Email kate.mckeown@navy.mil - Angela R Brooks, Contract Specialist, Phone (301) 757-9708, Fax 301-757-8988, Email angela.brooks@navy.mil",N/A
"Z--NSWC B143 Office Renovations at NSA, Crane IN ",09292017,17,,Department of the Navy,"N40085 NAVFAC Mid-Atlantic, PWD CRANE FEAD 300 Highway 361 NSA Bldg 2516 Crane, IN",,,<MOD>,Z,236220,0bb80224-8a77-11e7-89d0-1cc1de329608,N4008517R3619,https://www.fbo.gov/notices/b167141efc992c51a86846df0a0504c9,Naval Facilities Engineering Command,NAVFAC MID-ATLANTIC PWD Crane FEAD,47522,091417,Link To Document,PRESOL,0822,Debbie Dills 812 854 3234 Carrie Grimard 812 854 6641,
65--Pedometers Stand Alone  Bluetooth    ,09272017,17,joseph.kohles@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;VA Denver Acquisition  Logistics Center;(003A4D);555 Corporate Circle;Golden CO  80401-5621,,,<MOD>,65,339112,0bb80264-8a77-11e7-89d0-1cc1de329608,VA79117N0191,https://www.fbo.gov/spg/VA/VADDC791/VADDC791/VA79117N0191/listing.html,VA Denver Acquisition  Logistics Center,Department of Veterans Affairs Denver Acquisition  Logistics Center,80401,082817,joseph.kohles@va.gov,SRCSGT,0822,Joseph Kohles303-273-6216joseph.kohles@va.govjoseph.kohles@va.gov,N/A
"Lease of Office Space for 2020 Area Census Offices x96 Charlotte, NC",,17,,General Services Administration,"77 Forsyth Street, SW Atlanta GA 30303-3427",,,<MOD>,X,531120,0bb8023c-8a77-11e7-89d0-1cc1de329608,17-CENSUS-7NC2183,https://www.fbo.gov/spg/GSA/PBS/4PE/17-CENSUS-7NC2183/listing.html,Public Buildings Service (PBS),R4 Leasing Division (47PE99),30303-3427,090717,Link To Document,SRCSGT,0822,"Desi D. Clinton, Lease Contracting Officer, Phone (404)562-0640, Email desi.clinton@gsa.gov - Tarra Powell, Phone 404-562-0729, Email tarra.powell@gsa.gov",
"Repair, Install + Replace Floors within Buildings, Hohenfels Military Community, Germany",,17,,Department of the Army,,DE,92366,<MOD>,Z,238330,0bb801a4-8a77-11e7-89d0-1cc1de329608,W912PB-17-B-8117,https://www.fbo.gov/notices/bba475320171767e15fce245e33e0e3f,"Army Contracting Command, ECC",409th CSB (W912PB) RCO Bavaria,09114,092117,Link To Document,PRESOL,0822,"Sigrid Kahlert, Contract Specialist, Phone +499641838779, Email sigrid.kahlert.ln@mail.mil - Gabriele Kraus-Lindner, Contracting Officer, Phone +499641838724, Email gabriele.kraus-lindner.ln@mail.mil",N/A
"Lease of Office Space for 2020 Area Census Offices- Raleigh, NC",,17,,General Services Administration,"77 Forsyth Street, SW Atlanta GA 30303-3427",,,<MOD>,X,531120,0bb80239-8a77-11e7-89d0-1cc1de329608,17-CENSUS-7NC2182,https://www.fbo.gov/spg/GSA/PBS/4PE/17-CENSUS-7NC2182/listing.html,Public Buildings Service (PBS),R4 Leasing Division (47PE99),30303-3427,080717,Link To Document,SRCSGT,0718,"Darrell L. Jones, Contracting Officer, Phone 4045620794, Email darrell.jones@gsa.gov - Tarra Powell, Phone 404-562-0729, Email tarra.powell@gsa.gov",
50 Meter Dry and Wet Gap Line of Communication Bridges,10112017,17,,Department of the Army,6501 EAST 11 MILE ROAD Warren MI 48397-5000,,,<MOD>,54,332312,0bb8019e-8a77-11e7-89d0-1cc1de329608,W56HZV17F0223,https://www.fbo.gov/notices/9c96815071d21fb741867eab7faf58ec,Army Contracting Command,ACC - WRN (W56HZV)(DTA),48397-5000,091117,Link To Document,SRCSGT,0822,"Jennifer Schneider, Email jennifer.a.schneider17.civ@mail.mil - Dustin Gray, Email dustin.r.gray2.mil@mail.mil",
"Engineering, Software Architectures, System Engineering, Business Operations Support to Command, Power and Integration (CPI) Directorate",,17,,Department of the Army,6001 COMBAT DRIVE Aberdeen Proving Ground MD 21005-1846,US,21005,<MOD>,A,541712,0bb80194-8a77-11e7-89d0-1cc1de329608,W56KGU-17-R-0010,https://www.fbo.gov/notices/92ff6465d2d3d56f78d03f7c298bcae9,Army Contracting Command,ACC - APG (W56KGU) Division A,21005-1846,,Link To Document,PRESOL,0320,"Pierre R. Beljour, Contract Specialist , Phone 4438614680, Email pierre.r.beljour.civ@mail.mil - Nina M Bushnell, Contracting Officer, Phone 4438614649, Email nina.m.bushnell.civ@mail.mil",Woman Owned Small Business
"Lease of Office Space for 2020 Area Census Offices x96 Nashville, TN",,17,,General Services Administration,"77 Forsyth Street, SW Atlanta GA 30303-3427",,,<MOD>,X,531120,0bb80241-8a77-11e7-89d0-1cc1de329608,17-CENSUS-7TN2152,https://www.fbo.gov/spg/GSA/PBS/4PE/17-CENSUS-7TN2152/listing.html,Public Buildings Service (PBS),R4 Leasing Division (47PE99),30303-3427,090717,Link To Document,SRCSGT,0822,"William B Jones, Phone 4045620861, Email william.b.jones@gsa.gov - Tarra Powell, Phone 404-562-0729, Email tarra.powell@gsa.gov",
Program Accreditation,,17,,Department of the Army,ATTN:  MCAA GP L31 9Vr2539 GARDEN AVENUE JBSA FT SAM HOUSTON  TX 78234-0000,US,78234,<MOD>,U,611710,0bb8025e-8a77-11e7-89d0-1cc1de329608,0011025767,https://www.fbo.gov/spg/USA/MEDCOM/DADA09/0011025767/listing.html,U.S. Army Medical Command,REGIONAL HEALTH CONTRACT OFF CENTRAL,78234-0000,082517,Link To Document,SRCSGT,0822,"Calvin L. Blue, Contract Specialist, Phone 210-539-8663, Email calvin.l.blue.civ@mail.mil",N/A
D--Cloud Managed Services and Transition Services    ,12092017,17,troy.loveland@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;Technology Acquisition Center;23 Christopher Way;Eatontown NJ  07724,,,<MOD>,D,541512,0bb80267-8a77-11e7-89d0-1cc1de329608,VA11817N2499,https://www.fbo.gov/notices/9a0d3a37c4439c9d30d39b68e03a43d8,VA Technology Acquisition Center,VA Technology Acquisition Center,07724,090117,troy.loveland@va.gov,SRCSGT,0822,Troy LovelandContract Specialist Intern732-440-9635troy.loveland@va.gov,
Security Professional Education Development (SPēD) Certification Program,,17,,Other Defense Agencies,Russell-Knox Buildingr27130 Telegraph Rd. Quantico VA 22134,US,,<MOD>,R,611710,0bb801be-8a77-11e7-89d0-1cc1de329608,HS0021-17-R-0004,https://www.fbo.gov/notices/802bbc46fb9dbac3d12eb5709b7ed93d,Defense Security Service,Headquarters,22134,,Link To Document,PRESOL,0822,"Twana E. Harper, Contract Specialist, Phone 4106891328, Email twana.e.harper.civ@mail.mil",N/A
CX7176 SLIP RING,,17,,Department of the Army,6501 EAST 11 MILE ROAD Warren MI 48397-5000,,,<MOD>,25,336992,0bb8019f-8a77-11e7-89d0-1cc1de329608,W56HZV17Q0054,https://www.fbo.gov/notices/56578c4dea09f501d7f64fb9693ef489,Army Contracting Command,ACC - WRN (W56HZV)(DTA),48397-5000,083017,Link To Document,PRESOL,0822,"Stephanie N. Trainor, Contract Specialist, Phone 5862829014, Email stephanie.n.trainor.civ@mail.mil",
Request for Information (RFI) for IT Infrastructure Operations Support Services (ITIOSS) ,,17,,Pension Benefit Guaranty Corporation,"1200 K Street, N.W. Washington DC 20005-4026",US,20005-4026,<MOD>,R,541519,0bb801b9-8a77-11e7-89d0-1cc1de329608,16PBGC-17-ITIOSS,https://www.fbo.gov/spg/PBGC/CMO/PD/16PBGC-17-ITIOSS/listing.html,Chief Management Officer,Procurement Department,20005-4026,091117,Link To Document,SNOTE,0822,"Robert J Hufford, Phone 20232640007476, Email hufford.robert@pbgc.gov - Fiorela Kvalevog, Contracting Officer, Phone 202-326-4160 x3981, Email Kvalevog.Fiorela@pbgc.gov",N/A
Clear Cube,09042018,17,,Department of the Navy,"429 E. Bowen Rd. Stop 4015 - CLr575 I Ave, Bldg 36, Ste 1116 - PM China Lake/Pt Mugu CA 93555-6108",,,<MOD>,70,334111,0bb80221-8a77-11e7-89d0-1cc1de329608,N6893617Q0218,https://www.fbo.gov/notices/c228fd5429affde22d16333ca4117b14,Naval Air Systems Command,Naval Air Warfare Center Weapons Division,93555-6108,090117,Link To Document,PRESOL,0822,"Markelle Griffin, Contract Specialist, Phone (760) 939-5701, Email markelle.griffin@navy.mil - Deborah Sorem, Procuring Contracting Officer, Phone (760) 939-0812, Fax (760) 939-3095, Email deborah.sorem@navy.mil",
Misc FSC 1005 Gun Parts,,17,,Defense Logistics Agency,P O Box 3990 Columbus OH 43218-3990,US,43218,<MOD>,10,332994,0bb801c2-8a77-11e7-89d0-1cc1de329608,SPE7MX17R0127,https://www.fbo.gov/spg/DLA/J3/DSCC/SPE7MX17R0127/listing.html,DLA Acquisition Locations,DLA Land and Maritime,43218-3990,092217,Link To Document,PRESOL,0822,"Brandy Warner, Phone 614-692-5024, Email brandy.warner@dla.mil",Total Small Business
J--Aquakem 600 (KONE) Service Agreement/Maintenance,09092017,17,,Department of the Interior,USGS OAG DENVER ACQUISITION BRANCHPO BOX 25046204 DENVER FEDERAL CENTERDENVERCO80225-0046US,,,<MOD>,J,811219,0bb80247-8a77-11e7-89d0-1cc1de329608,G17PS00852,https://www.fbo.gov/spg/DOI/USGS/USGS/G17PS00852/listing.html,U. S. Geological Survey,USGS - All Offices,80225,082517,Link To Document,PRESOL,0822,"Dale, Maeghann L.",
Z--Genoa NFH Pond 3 Dike Rehab,09252017,17,,Department of the Interior,"U.S. Fish  Wildlife Service, Regio5600 American Boulevard, Suite 990BloomingtonMN55437-1458",,,<MOD>,Z,237990,0bb801db-8a77-11e7-89d0-1cc1de329608,F17PS01133,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS01133/listing.html,Fish and Wildlife Service,CGS-WO,55437,091517,Link To Document,PRESOL,0822,"Breske, Tiffany",Service-Disabled Veteran-Owned Small Business
y--REPAIR ROOF STRUCTURE AT SAHO WTP,09092017,17,,Department of the Interior,"NPS, NER SERVICES MABOBoston National Historical ParkCharlestown Navy YardBuilding I-1BostonMA02129-4543US",USA,07732,<MOD>,Y,238160,0bb8020f-8a77-11e7-89d0-1cc1de329608,P17PS01488,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS01488/listing.html,National Park Service,NPS - All Offices,02129,082517,Link To Document,PRESOL,0822,"WIND, TIMOTHY",Total Small Business
Falex Pin and Vee Block Tester,,17,,Department of the Army,BUILDING 10 PHIPPS RD PICATINNY ARSENAL  NJ 07806-5000,,,<MOD>,66,334516,0bb8019a-8a77-11e7-89d0-1cc1de329608,W15QKN-17-X-0AW2,https://www.fbo.gov/notices/91dc1ee4e30b9b1be476d054e28167ca,Army Contracting Command,ACC - NJ (W15QKN),07806-5000,090617,Link To Document,PRESOL,0822,"Nicole L. Thalmann, Contract Specialist, Email nicole.l.thalmann.civ@mail.mil",
"23--TILTBED TRAILER, 704 CLASS",09082017,17,,Department of the Interior,"BLM OR-ST OFC PROC MGMT BR(OR952)1220 SW 3rd Avenue, 12th FloorPORTLANDOR97204US",,,<MOD>,23,336212,0bb801b0-8a77-11e7-89d0-1cc1de329608,L17PS01064,https://www.fbo.gov/spg/DOI/BLM/OR/L17PS01064/listing.html,Bureau of Land Management,Oregon Region,97204,082417,Link To Document,PRESOL,0822,"Sung, Robert",
BEMIS-MC Bore Erosion Measurement Inspection System,,17,,Department of the Army,ATTN: CCMI-CHD-YPrBldg 2364 r301 C Street Yuma AZ 85365-9498,,,<MOD>,59,334515,0bb801aa-8a77-11e7-89d0-1cc1de329608,W9124R-17-T-0062,https://www.fbo.gov/notices/6c07727f48f9eeb6b1ce099d5b8a7ee3,"Army Contracting Command, MICC",MICC - Yuma Proving Ground,85365-9498,082917,Link To Document,SNOTE,0822,"Melissa Saenz, Phone 928-328-2093, Fax 9282-328-6534, Email melissa.j.saenz.civ@mail.mil",
eCASS Production Full Rate Production 2,,17,,Department of the Navy,Contracts DepartmentHwy. 547    Attn:B562-3C Lakehurst NJ 08733-5083,US,,<MOD>,66,334519,0bb8021c-8a77-11e7-89d0-1cc1de329608,N68335-17-R-0129,https://www.fbo.gov/spg/DON/NAVAIR/N68335/N68335-17-R-0129/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Lakehurst,08733-5083,091817,Link To Document,PRESOL,0822,"Lisette Behmke, Contract Specialist, Phone 7323232547, Email lisette.behmke@navy.mil - Kathryn Scott, Contract Specialist, Phone 7323234643, Email Kathryn.Scott@navy.mil",N/A
Jackson Heart Study Coordinating Center Pre-Solicitation Notice,08162018,17,,Department of Health and Human Services,"National Institutes of HealthNational Heart, Lung, and BloodInstituteBethesdaMD20892-7902USA",,,<MOD>,A,541712,0bb801f9-8a77-11e7-89d0-1cc1de329608,HHSN26818HV00006R,https://www.fbo.gov/spg/HHS/NIH/NHLBI/HHSN26818HV00006R/listing.html,National Institutes of Health,"National Heart, Lung and Blood Institute, Rockledge Dr. Bethesda, MD",20892,082917,Link To Document,PRESOL,0822,"BRADY, MARK E.",
"Residential Reentry Center (RRC) Services and Home Confinment Services Located Within the Limits of Marion County, in Ocala, Florida",10312018,17,,Department of Justice,"320 First Street, NW Washington DC 20534",US,,<MOD>,G,623990,0bb801b2-8a77-11e7-89d0-1cc1de329608,RFP-200-1367-ES,https://www.fbo.gov/spg/DOJ/BPR/PPB/RFP-200-1367-ES/listing.html,Bureau of Prisons,Acquisitions Branch,20534,,Link To Document,PRESOL,0822,"Kevin J. Hoff, Phone (215) 521-7355, Email khoff@bop.gov",N/A
Integrated Hydraulic Valve and Filter Assembly,12292017,17,,Department of the Air Force,215 Page Rd Robins AFB GA 31098-1611,,,<MOD>,48,332912,0bb8018f-8a77-11e7-89d0-1cc1de329608,SPRWA1-17-Q-0015,https://www.fbo.gov/spg/USAF/AFMC/WRALC/SPRWA1-17-Q-0015/listing.html,Air Force Materiel Command,PK/PZ - Robins AFB,31098-1611,082317,Link To Document,PRESOL,0822,"Wilma J Felton, Contracting Officer, Phone (478)222-1885, Fax None, Email wilma.felton@us.af.mil",
"Overhaul/Repair of the AH-64 D, E Connecting Link, Rig",,17,,Department of the Army,SPARKMAN CIR BLDG 5303 Redstone Arsenal AL 35898-0000,US,35898-5280,<MOD>,30,336411,0bb8019c-8a77-11e7-89d0-1cc1de329608,W58RGZ-16-R-0043,https://www.fbo.gov/notices/1430563a945ff0c9a2d1207220c2185d,Army Contracting Command,ACC - RSA (W58RGZ) Aviation,35898-0000,092217,Link To Document,PRESOL,0822,"Monty D. Teasley, Email monty.d.teasley.civ@mail.mil - Monty D. Teasley, Email monty.d.teasley.civ@mail.mil",N/A
F--BLUE CREEK BAY HAZARDOUS FUELS REDUCTION,09222017,17,,Department of the Interior,BLM ID-STATE OFC HRADM SVC (ID953)1387 S. VINNELL WAYBOISEID83709US,,,<MOD>,F,115310,0bb801ae-8a77-11e7-89d0-1cc1de329608,L17PS01166,https://www.fbo.gov/spg/DOI/BLM/ID/L17PS01166/listing.html,Bureau of Land Management,Idaho Region,83709,090717,Link To Document,PRESOL,0822,"Fort, Patricia",
Water Sampling,,17,,Department of the Army,34 South Gate Road Suite 1104 Fort Buchanan PR 00934-4206,US,00934-4572,<MOD>,B,541380,0bb801a7-8a77-11e7-89d0-1cc1de329608,W912C3-17-R-0007,https://www.fbo.gov/notices/3a5512424585cc05a348d28b8ead0fab,"Army Contracting Command, MICC",MICC - Fort Buchanan (W912C3),00934-4206,091217,Link To Document,PRESOL,0822,"Carla Rosario, Contract Specialist, Phone 7877074528, Email carla.m.rosario-rivera.civ@mail.mil - Maria Otero, Contracting Officer, Phone 7877073985, Email maria.d.otero4.civ@mail.mil",Total Small Business
Subscription Services,,17,,Department of Commerce,"100 Bureau Drive, Building 301rRoom B130 Gaithersburg MD 20899-1410",,,<MOD>,D,519130,0bb801f3-8a77-11e7-89d0-1cc1de329608,SB1350-17-I-04530,https://www.fbo.gov/spg/DOC/NIST/AcAsD/SB1350-17-I-04530/listing.html,National Institute of Standards and Technology (NIST),Acquisition Management Division,20899-1410,082517,Link To Document,SRCSGT,0822,"Monica Brown, Phone 2024820932, Email monica.brown@trade.gov",
Extension Identity Protection Management Support Services,,17,,Other Defense Agencies,1225 South Clark StreetrSuite 1202r Arlington VA 22202-4371,,,<MOD>,R,541512,0bb80268-8a77-11e7-89d0-1cc1de329608,JTJ082220170853,https://www.fbo.gov/spg/ODA/WHS/REF/JTJ082220170853/listing.html,Washington Headquarters Services,"WHS, Acquisition Directorate",22202-4371,,Link To Document,PRESOL,0822,"Janice T. Johnson, Phone 7035453552, Email janice.t.johnson5.civ@mail.mil",
PRESOLICITATION NOTICE-NMRC DENGUE CIRUS - NON-HUMAN PRIMATE STUDY,,17,,Department of the Navy,693 Neiman Street FT Detrick MD 21702-9203,US,20910,<MOD>,A,541712,0bb801b1-8a77-11e7-89d0-1cc1de329608,N3239817RDENGUE,https://www.fbo.gov/spg/DON/BUMED/N62645/N3239817RDENGUE/listing.html,Bureau of Medicine and Surgery,Naval Medical Logistics Command,21702-9203,081717,Link To Document,PRESOL,0822,"Jennifer M. Reed, Contract Specialist, Phone 3016191200, Email jennifer.m.reed20.civ@mail.mil",N/A
Horizontal Furnaces,,17,,Department of the Air Force,"3001 Staff Drive, Ste 1AG76A Tinker AFB OK 73145-3015",US,73145,<MOD>,44,333994,0bb80190-8a77-11e7-89d0-1cc1de329608,Horizontal_Furnaces_FA8125-17-R-0016,https://www.fbo.gov/spg/USAF/AFMC/OCALCCC/Horizontal_Furnaces_FA8125-17-R-0016/listing.html,Air Force Materiel Command,PK/PZ Tinker AFB,73145-3015,090617,Link To Document,SRCSGT,0822,"James R. Davison, Contract Specialist, Phone 4057341141, Email james.davison.7@us.af.mil - Andre Casiano, Contracting Officer, Phone 4057364104, Email andre.casiano@us.af.mil",Total Small Business
SIR Posted for Financial Integrated Support (FIS) Follow-On Contracts - Enterprise Financial Services (EFS)[SIR: DTFAWA-17-R-00017],10182017,17,stephen.mostow@faa.gov,Department of Transportation," FEDERAL AVIATION ADMINISTRATION, AAQ-420 WA - FAA Headquarters (Washington, DC) ",,,<MOD>,R,,0bb801ca-8a77-11e7-89d0-1cc1de329608,27484,https://www.fbo.gov/spg/DOT/FAA/HQ/27484/listing.html,Federal Aviation Administration (FAA),Headquarters,20591,101817,Click here to email Stephen Mostow,PRESOL,0822,"Stephen Mostow, stephen.mostow@faa.gov, Phone: 202-267-8494Click here to email Stephen Mostow",
Heat exchangers per Watervliet Arsenal specification #09-15-4420 Rev 2 dated 7/26/2017,,17,,Department of the Army,1 BUFFINGTON ST BLDG 10 Watervliet NY 12189-4000,US,12189,<MOD>,44,332410,0bb801a1-8a77-11e7-89d0-1cc1de329608,W911PT-17-Q-0107,https://www.fbo.gov/notices/99cb5ed6a168b30292a090f5f2506415,Army Contracting Command,ACC - WRN (W911PT)(WVA),12189-4000,092117,Link To Document,PRESOL,0822,"Peter J. Haschytz II, Contract Specialist, Phone 5182663933, Fax Not applcable, Email peter.j.haschytz.civ@mail.mil - Peter J. Haschytz II, Contract Specialist, Phone 5182663933, Fax Not applicable, Email peter.j.haschytz.civ@mail.mil",N/A
"Permanent Embankment and Culvert Repair Project - Conemaugh River Lake, Blairsville, PA",,17,,Department of the Army,"1000 Liberty AvenuerW.S. Moorhead Federal Building, 22nd Floor Pittsburgh PA 15222-4186",US,15717,<MOD>,Y,237990,0bb80258-8a77-11e7-89d0-1cc1de329608,W911WN-17-B-8007,https://www.fbo.gov/spg/USA/COE/DACA59/W911WN-17-B-8007/listing.html,U.S. Army Corps of Engineers,"USACE District, Pittsburgh ",15222-4186,090817,Link To Document,PRESOL,0822,"Matthew W. Reed, Phone 4123957157, Email matthew.w.reed@usace.army.mil",Total Small Business
SMALL BOAT PROPULSION SHAFTS,,17,,Department of Homeland Security,"2401 Hawkins Point RoadrBuilding 31, Mail Stop 26 Baltimore MD 21226-5000",,,<MOD>,20,331512,0bb80260-8a77-11e7-89d0-1cc1de329608,HSCG40-17-Q-53022,https://www.fbo.gov/spg/DHS/USCG/USCGELC/HSCG40-17-Q-53022/listing.html,United States Coast Guard (USCG),USCG Surface Forces Logistics Center (SFLC) ,21226-5000,083117,Link To Document,PRESOL,0822,"Kelly Wyatt, Phone 4105824720, Email Kelly.A.Wyatt@uscg.mil",
Ukraine Health Reform Support Program,,17,,Agency for International Development,Regional Contracting OfficeDept. of State Washington DC 20521-5850,UA,,<MOD>,R,541990,0bb8022f-8a77-11e7-89d0-1cc1de329608,SOL-121-17-000009,https://www.fbo.gov/spg/AID/OM/KIE/SOL-121-17-000009/listing.html,Overseas Missions,Ukraine USAID-Kiev,20521-5850,082917,Link To Document,PRESOL,0822,"Larissa Lomonosova, Acquisition and Assistance Specialist, Email llomonosova@usaid.gov - Rachel Roe , Contracting Officer, Email rroe@usaid.gov",N/A
Repair of the Fully Integrated Data Link (FIDL),,17,,Department of the Air Force,215 Page Rd Robins AFB GA 31098-1611,,,<MOD>,70,811219,0bb8018e-8a77-11e7-89d0-1cc1de329608,FA8539-17-R-0027,https://www.fbo.gov/spg/USAF/AFMC/WRALC/FA8539-17-R-0027/listing.html,Air Force Materiel Command,PK/PZ - Robins AFB,31098-1611,092117,Link To Document,PRESOL,0822,"Webster Stubbs, Contraing Officer, Phone 478-222-4413, Fax 478-926-7545, Email webster.stubbs@us.af.mil",
"Lease of Office Space for 2020 Area Census Offices x96 Savannah, GA",,17,,General Services Administration,"77 Forsyth Street, SW Atlanta GA 30303-3427",,,<MOD>,X,531120,0bb80234-8a77-11e7-89d0-1cc1de329608,17-CENSUS-7GA2237,https://www.fbo.gov/spg/GSA/PBS/4PE/17-CENSUS-7GA2237/listing.html,Public Buildings Service (PBS),R4 Leasing Division (47PE99),30303-3427,080717,Link To Document,SRCSGT,0718,"Dion D. Reid, Realty Service Specialist, Phone 4045622771, Email dion.reid@gsa.gov - Tarra Powell, Phone 404-562-0729, Email tarra.powell@gsa.gov",
Liquid Particle Counting System,,17,,Department of the Navy,Contracts DepartmentHwy. 547    Attn:B562-3C Lakehurst NJ 08733-5083,,,<MOD>,66,334514,0bb8021b-8a77-11e7-89d0-1cc1de329608,N68335-17-P-0536,https://www.fbo.gov/spg/DON/NAVAIR/N68335/N68335-17-P-0536/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Lakehurst,08733-5083,090217,Link To Document,PRESOL,0822,"Alison M Grosch, Email alison.grosch@navy.mil",
Lease of Office Space for 2020 Area Census Offices x96 Miami North,,17,,General Services Administration,"77 Forsyth Street, SW Atlanta GA 30303-3427",,,<MOD>,X,531120,0bb8023e-8a77-11e7-89d0-1cc1de329608,17-CENSUS-7FL2446,https://www.fbo.gov/spg/GSA/PBS/4PE/17-CENSUS-7FL2446/listing.html,Public Buildings Service (PBS),R4 Leasing Division (47PE99),30303-3427,080717,Link To Document,SRCSGT,0718,"Cindy Fazioli, Leasing Specialist, Phone 954-233-8386, Email cindy.fazioli@gsa.gov - James Thompson, Contracting Officer, Phone (954) 356-7698, Fax (954) 356-7675, Email james.fthompson@gsa.gov",
