AGENCY,iname,label,AWDNBR,YEAR,OFFICE,SOLNBR,LOCATION,NTYPE,DATE
Department of the Army,b635f980-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A114G0007ZB44,17,Defense Logistics Agency Detachment,SPRRA117R0179,DLA Aviation and Missile Command (Aviation),AWARD,0810
Department of the Navy,b679601d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Air Systems Command,N6893616T0330,Naval Air Warfare Center Weapons Division,PRESOL,0819
Department of the Army,b635f933-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W911SD-17-T-0423,MICC - West Point,SRCSGT,0803
Department of the Interior,b635f94f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Land Management,L17PS00305,National Centers Region,COMBINE  ,0714
Department of the Army,b635f915-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W31P4Q17C0151,17,Army Contracting Command,null,ACC - RSA (W31P4Q) Missile,AWARD,0810
Defense Logistics Agency,b635f9cb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A115G00014068,17,DLA Acquisition Locations,SPE4A717R04440001,DLA Aviation - BSM,AWARD,0810
Department of Agriculture,b6795fa8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,AG-94TZ-S-17-0110,R-3 Southwestern Region/Western Zone,PRESOL,0619
Defense Logistics Agency,b635f9bc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A617TBV95,DLA Aviation - BSM,COMBINE  ,0718
Defense Logistics Agency,b635f9c1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A114G000724BR,17,DLA Acquisition Locations,SPE4A517TZ579,DLA Aviation - BSM,AWARD,0810
Department of Justice,b635f956-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Bureau of Prisons,RFP-200-1318-WS,Acquisitions Branch,PRESOL,0225
Agency for International Development,b6796135-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Washington D.C.,SOL-OTI-17-000048,USAID/Washington,COMBINE  ,0720
Department of the Navy,b679603b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N0025317Q0234,NUWC Keyport Division,COMBINE  ,0802
Department of the Air Force,b67960aa-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Pacific Air Forces,FA527017QB038,18 CONS - Kadena,COMBINE  ,0713
Department of State,b6795f85-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,European Posts,PR6520351,"U.S. Embassy The Hague, The Netherlands",PRESOL,0808
Department of Veterans Affairs,b679612b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Service Area Organization East,VA24017Q0172,VA Service Area Organization East,SRCSGT,0620
Department of the Navy,b679601b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Air Systems Command,N6893616T0337,Naval Air Warfare Center Weapons Division,PRESOL,0815
Department of the Navy,b67960c6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Space and Naval Warfare Systems Command,N66001-17-Q-7338,SPAWAR Systems Center Pacific,COMBINE  ,0718
Department of Agriculture,b6795fac-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,AG-3395-S-17-0036,R-8 Northern Acquisition Zone - George Washington-Jefferson NF,COMBINE  ,0728
Department of the Interior,b6796009-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,P17PC00202,17,National Park Service,P17PS00569,NPS - All Offices,AWARD,0810
Department of Agriculture,b635f8bf-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Agricultural Research Service,AG-3JL0-S-17-0008,Northeast Area,COMBINE  ,0801
Department of the Navy,b6796040-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N6883617Q0295,NAVSUP Fleet Logistics Center Jacksonville,COMBINE  ,0805
Department of the Navy,b6796071-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRMM113G11001042,17,Naval Supply Systems Command,SPRMM117QYD47,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0810
Department of the Navy,b6796066-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0010413GA3031155,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0810
National Science Foundation,b635f98b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,NSFDACS17P1315,17,Division of Acquisition and Cooperative Support,DACS17Q1090,DACS,AWARD,0810
Department of Commerce,b6796000-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Oceanic and Atmospheric Administration (NOAA),NFFR7500-17-03145,Western Acquisition Division - Boulder,SNOTE,0816
Department of the Navy,b6796028-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N4008517F4498,17,Naval Facilities Engineering Command,N400855622771,"NAVFAC Mid-Atlantic, ROICC Cherry Point",AWARD,0815
Department of the Interior,b635f95d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Reclamation,R17PS01050,BOR - All Offices,PRESOL,0630
Department of Veterans Affairs,b6795fb1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Hampton VAMC,VA24617Q1398,Department of Veterans Affairs Medical Center,SNOTE,0626
Department of the Navy,b679609e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Office of Naval Research,N00173-17-R-ST08,Naval Research Laboratory,COMBINE  ,0727
Department of Homeland Security,b6795fb6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Immigration  Customs Enforcement,HSCEMS-17-R-00008,ICE-OAQ-MS,COMBINE  ,0706
Defense Logistics Agency,b6795f69-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5EJ17T9680,DLA Troop Support - Construction  Equipment - BSM,COMBINE  ,0718
Department of the Army,b67960d6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912P917B0005,USACE District St. Louis,COMBINE  ,0710
Defense Logistics Agency,b6795f27-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,1005014541629,DLA Land and Maritime,SRCSGT,0802
Defense Logistics Agency,b6795f43-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L317P7769,17,DLA Acquisition Locations,SPE7L317T4051,DLA Land and Maritime - BSM,AWARD,0810
Department of the Interior,b635f963-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,R13PC40003/R17PD00756,17,Bureau of Reclamation,null,BOR - All Offices,AWARD,0810
Department of the Navy,b6796020-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Air Systems Command,N6893616R0044,Naval Air Warfare Center Weapons Division,PRESOL,0602
Social Security Administration,b6796099-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Office of Budget, Finance, Quality and Management",SSA-RFQ-17-1362,Office of Acquisition and Grants,PRESOL,0809
Department of Veterans Affairs,b6796122-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northern California Health Care System,VA26117B0768,Department of Veterans Affairs No. California Health Care System System,PRESOL,0712
Defense Logistics Agency,b6795f81-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE3SE17Q1753,DLA Troop Support - Subsistence - BSM,COMBINE  ,0719
Department of Veterans Affairs,b6796133-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VBA Office of Acquisition,VA101V17Q0283,Department of Veterans Affairs Washington Regional Office,COMBINE  ,0613
Department of the Navy,b679607b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Philadelphia PA,FSTD,0809
Department of the Army,b635f97d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRRA117D0205,17,Defense Logistics Agency Detachment,SPRRA117R0226,DLA Aviation and Missile Command (Aviation),AWARD,0810
Department of the Interior,b6795f9d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,F17PX01583,17,Fish and Wildlife Service,null,CGS-WO,AWARD,0810
Department of the Army,b635f90e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,null,ACC - NJ (W15QKN),FAIROPP,0726
Department of the Interior,b635f94e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Land Management,L17PS00994,National Centers Region,PRESOL,0802
Department of the Air Force,b635f8f9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Mobility Command,FA4620-17-T-A304,92 CONS,JA,0717
Department of Health and Human Services,b6795f9f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Food and Drug Administration,FDA-17-SOL-1185122,Office of Acquisitions and Grants Services - Rockville,COMBINE  ,0727
Defense Logistics Agency,b6795f19-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7LX-17-R-0106,DLA Contracting Services Office - Columbus,COMBINE  ,0726
Department of Health and Human Services,b6795ffa-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institutes of Health,NOI-RML-E-1860162,National Institute of Allergy  Infectious Diseases/AMOB,COMBINE  ,0726
Defense Logistics Agency,b635f9b4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517R1358,DLA Aviation - BSM,SRCSGT,0817
National Aeronautics and Space Administration,b6795fd1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,NASA Shared Services Center,80NSSC17Q0224,Simplified Acquisitions,COMBINE  ,0807
Department of Commerce,b6795ffe-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Oceanic and Atmospheric Administration (NOAA),EG-133C-17-RQ-0686,Eastern Acquisition Division - Norfolk,SNOTE,0804
Department of the Interior,b679600c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Park Service,P17PS02448,NPS - All Offices,SRCSGT,0804
Department of the Navy,b6795fcd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Military Sealift Command,N3220571816101,MSC Norfolk (N32205),SRCSGT,0728
Defense Logistics Agency,b635f9de-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A717PD410,17,DLA Acquisition Locations,SPE4A717TE952,DLA Aviation - BSM,AWARD,0810
Department of the Army,b635f982-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Defense Logistics Agency Detachment,SPRDL1-17-R-0336,DLA TACOM - Warren Acquisition Center,COMBINE  ,0710
Department of Veterans Affairs,b67960c9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,VA263-17-P-1331,17,St. Cloud VAMC,VA26317Q1066,Department of Veterans Affairs Medical Center,AWARD,0816
Department of the Army,b635f916-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W58RGZ-17-R-0179,ACC - RSA (W58RGZ) Aviation,FAIROPP,0726
Department of Agriculture,b635f8bb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Agricultural Research Service,AG-3JL0-SS-17-0013,Northeast Area,SNOTE,0810
Department of the Army,b635f92e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W91QF4-SmallBusinessEventKS,MICC - Fort Sill,SNOTE,0731
Department of Transportation,b67960ca-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,St. Lawrence Seaway Development Corporation (SLSDC),DTSL5517Q0721,SLSDC Headquarters,COMBINE  ,0811
Department of Agriculture,b635f8ba-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,701-5090-510-00380,17,Agricultural Research Service,AG-5615-S-17-BB05,Midwest Area,AWARD,0810
Defense Logistics Agency,b635f9b5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517R1023,DLA Aviation - BSM,JA,0727
Department of the Navy,b6796012-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Air Systems Command,N00019-17-PMA-299-0170,NAVAIR HQ,PRESOL,0726
Department of Health and Human Services,b635f967-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Centers for Disease Control and Prevention,2017-Q-67252,Procurement and Grants Office (Atlanta),PRESOL,0725
Department of Veterans Affairs,b6796115-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Gulf Coast Veterans Health Care System,VA25617Q0909,Department of Veterans Affairs Gulf Coast Veterans Health Care System,COMBINE  ,0617
Other Defense Agencies,b635f978-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Defense Advanced Research Projects Agency,DARPA-SN-17-70,Contracts Management Office,SNOTE,0807
Defense Logistics Agency,b6795f59-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,CL16292001-A1-P2,DLA Land and Maritime - BSM,SRCSGT,0803
Department of the Navy,b6796026-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N4008517F4566,17,Naval Facilities Engineering Command,N400856628643,"NAVFAC Mid-Atlantic, ROICC Cherry Point",AWARD,0815
Defense Logistics Agency,b635f9cd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A017Q0253,DLA Aviation - BSM,COMBINE  ,0719
Department of Justice,b635f959-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,15B50517D00000116,17,Bureau of Prisons,RFQP05051700004,Field Acquisition Office (FAO),AWARD,0810
Department of the Air Force,b635f8b9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,AFICA,FA5641-17-T-0007,AFICA- EUROPE,COMBINE  ,0710
Department of the Navy,b6796052-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0010412GA3021012,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0810
Department of the Army,b635f987-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRDL114D00130008,17,Defense Logistics Agency Detachment,null,DLA TACOM - Warren Acquisition Center,AWARD,0810
Defense Logistics Agency,b6795f18-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7LX-17-R-0106,DLA Contracting Services Office - Columbus,PRESOL,0726
Other Defense Agencies,b67960f1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Special Operations Command,H92241-17-T-0007,Technical Applications Contracting Office (TAKO),COMBINE  ,0803
Department of the Army,b635f931-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W911SD-17-T-0428,MICC - West Point,SRCSGT,0803
Department of Veterans Affairs,b6796110-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Bay Pines Health Care System,VA24817Q1358,Department of Veterans Affairs Bay Pines Health Care System,COMBINE  ,0802
Department of the Navy,b6796055-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0010417QFG60,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0710
Department of Veterans Affairs,b6795fb0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Hampton VAMC,VA24617N1606,Department of Veterans Affairs Medical Center,SRCSGT,0724
Department of Homeland Security,b67960f6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCGG1-17-B-PRV179,"Commanding Officer, USCG Civil Engineering Unit Providence",PRESOL,0609
Department of the Navy,b67960cb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0003016C0005,17,Strategic Systems Programs,N00030-16-C-0005Q0001,SSP,AWARD,0823
Department of the Navy,b6796043-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N6883617Q0216,NAVSUP Fleet Logistics Center Jacksonville Mayport Office,COMBINE  ,0820
Defense Logistics Agency,b635f9a3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PK147,17,DLA Acquisition Locations,SPE4A617Q1598,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b6795f78-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPM5EY13R0003J,DLA Troop Support - Industrial Hardware,SNOTE,0809
Department of the Army,b635f918-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W58RGZ12D00890668,17,Army Contracting Command,null,ACC - RSA (W58RGZ) Aviation,AWARD,0810
Department of the Interior,b635f962-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,R17PX00548,17,Bureau of Reclamation,R17PS00763,BOR - All Offices,AWARD,0810
Defense Logistics Agency,b6795f6a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5EM17T9950,DLA Troop Support - Construction  Equipment - BSM,COMBINE  ,0718
General Services Administration,b67960be-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Public Buildings Service (PBS),EQ5P2SS2P2-17-0010,R5 Acquisition Management Division (47PF00),PRESOL,0420
Department of Veterans Affairs,b6795fc2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Jackson VAMC,VA25617Q0912,G.V. (Sonny) Montgomery Department of Veterans Affairs Medical Center,COMBINE  ,0618
Department of the Navy,b679604c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0040617T0289,NAVSUP Fleet Logistics Center Puget Sound,PRESOL,0314
Department of the Navy,b6796027-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N4008517F4425,17,Naval Facilities Engineering Command,N400856384526,"NAVFAC Mid-Atlantic, ROICC Cherry Point",AWARD,0815
Defense Logistics Agency,b6795f72-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5EC17T1129,DLA Troop Support - Construction  Equipment - BSM,COMBINE  ,0710
Department of the Air Force,b67960a8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Pacific Air Forces,FA5270-17-Q-A089,18 CONS - Kadena,COMBINE  ,0727
Defense Logistics Agency,b6795f21-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE600-17-R-0402,DLA Energy,COMBINE  ,0308
Department of Homeland Security,b67960fd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),hscg40-17-q-ag356,USCG Surface Forces Logistics Center (SFLC) ,COMBINE  ,0808
Department of the Navy,b6796106-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Marine Corps,M6700117Q1229,MCB Camp Lejeune - RCO,PRESOL,0801
Department of Health and Human Services,b635f969-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,200-2017-M-95448,17,Centers for Disease Control and Prevention,2017-Q-67237,Procurement and Grants Office (Atlanta),AWARD,0811
Department of Veterans Affairs,b6795fbf-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Iowa City VAMC,VA26317Q0970,Department of Veterans Affairs Medical Center,SRCSGT,0721
Department of Homeland Security,b67960f9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG2817FPJL057,USCG Base Miami Beach,SNOTE,0814
Department of the Navy,b679606e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QWP75,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0724
Department of the Navy,b679602e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Sea Systems Command,N00024-16-R-6306,NAVSEA HQ,JA,0725
Department of the Interior,b679600b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Park Service,P17PS02214,NPS - All Offices,PRESOL,0802
Department of Justice,b679610b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,United States Marshals Service,DJM-17-A37-Q-0002,Justice Prisoner  Alien Transportation System,SRCSGT,0816
Department of the Army,b6795fe1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,F8R2MG7192AW01,"171 MSG/MSC, PA ANG",COMBINE  ,0720
Defense Logistics Agency,b6795f40-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7M517Q1770,DLA Land and Maritime - BSM,COMBINE  ,0718
Department of Veterans Affairs,b679611d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northern California Health Care System,VA26117Q0804,Department of Veterans Affairs No. California Health Care System System,COMBINE  ,0712
Defense Logistics Agency,b6795f42-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRPA113G001XU3B2,17,DLA Acquisition Locations,SPE7M517U0249,DLA Land and Maritime - BSM,AWARD,0810
Department of the Interior,b67960d4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,G17PX01222,17,U. S. Geological Survey,null,USGS - All Offices,AWARD,0810
Agency for International Development,b67960a6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Overseas Missions,SOL-522-17-000002,Honduras USAID-Tegucigalpa,PRESOL,1116
Department of the Interior,b6795f9b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Fish and Wildlife Service,F17PS01031,CGS-WO,PRESOL,0726
Department of the Navy,b679601f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Air Systems Command,N6893616T0312,Naval Air Warfare Center Weapons Division,PRESOL,0803
Department of the Navy,b679603d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,15,Naval Sea Systems Command,N66604-15-R-1957,NUWC Newport Division,PRESOL,0311
Defense Logistics Agency,b6795f22-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE600-17-R-0806,DLA Energy,PRESOL,0801
Department of the Air Force,b635f8ec-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Space Command,FA2521-17-Q-A007,45CONS (Bldg 423),COMBINE  ,0721
Department of Veterans Affairs,b679608d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Network Contracting Office 4,VA24417Q1139,Veterans Integrated Service Network 4 Facilities,SRCSGT,0619
Defense Logistics Agency,b635f9db-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRPA117GC101Z6N8,17,DLA Acquisition Locations,null,DLA Aviation - BSM,AWARD,0810
Department of Agriculture,b6795fa1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,SN-2017-17,National Interagency Fire Center,SNOTE,0725
Department of the Army,b635f917-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W58RGZ14D01120007,17,Army Contracting Command,null,ACC - RSA (W58RGZ) Aviation,AWARD,0810
Defense Logistics Agency,b6795f50-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7L317Q0548,DLA Land and Maritime - BSM,COMBINE  ,0710
Social Security Administration,b6796097-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SS00-14-41008/0177,17,"Office of Budget, Finance, Quality and Management",null,Office of Acquisition and Grants,AWARD,0815
Department of Veterans Affairs,b6795fad-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Hampton VAMC,VA24617Q1095,Department of Veterans Affairs Medical Center,SRCSGT,0518
Defense Logistics Agency,b635f996-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A617TBW70,DLA Aviation - BSM,COMBINE  ,0718
Department of Veterans Affairs,b6795fdc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Nashville VAMC,VA24917Q0915,Department of Veterans Affairs Medical Center,COMBINE  ,0724
Defense Logistics Agency,b6795f48-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7MC17P5714,17,DLA Acquisition Locations,SPE7MC17TP278,DLA Land and Maritime - BSM,AWARD,0810
Department of the Navy,b6796049-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0018917Q0196,NAVSUP Fleet Logistics Center Norfolk,PRESOL,0803
Department of the Navy,b6796105-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Marine Corps,M67001-17-Q-1380,MCB Camp Lejeune - RCO,PRESOL,0811
Defense Logistics Agency,b635f9bb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A617TBV45,DLA Aviation - BSM,COMBINE  ,0718
Defense Logistics Agency,b635f9a2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A5-17-R-1044,DLA Aviation - BSM,COMBINE  ,0606
Department of Health and Human Services,b635f968-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Centers for Disease Control and Prevention,0000HCWG201714526,Procurement and Grants Office (Atlanta),COMBINE  ,0807
Defense Logistics Agency,b635f9ba-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A617TBV34,DLA Aviation - BSM,COMBINE  ,0718
National Aeronautics and Space Administration,b6795fd5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,NASA Shared Services Center,80NSSC17Q0227,Simplified Acquisitions,COMBINE  ,0807
Defense Logistics Agency,b6795f7e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE2DX15D93839622,17,DLA Acquisition Locations,null,DLA Troop Support - Medical - BSM,AWARD,0810
Department of the Air Force,b635f8d1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Global Strike Command,MAFB-Laser_Tag,341 CONS,SRCSGT,0807
Defense Logistics Agency,b635f9af-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PJ992,17,DLA Acquisition Locations,SPE4A617TZ668,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b6795f4c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7L717T5899,DLA Land and Maritime - BSM,COMBINE  ,0706
Defense Logistics Agency,b635f997-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A6-17-R-0688,DLA Aviation - BSM,PRESOL,0627
Department of Homeland Security,b6796100-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG40-17-Q-40566,USCG Surface Forces Logistics Center (SFLC) Procurement Branch 2,COMBINE  ,0727
Department of Health and Human Services,b6795ff9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institutes of Health,N02CP72651-76,"National Cancer Institute, Office of Acquisitions",PRESOL,0814
Department of Agriculture,b6795f89-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Farm Service Agency,AG-3151-S-17-0037,Washington State Office,SRCSGT,0822
General Services Administration,b67960bb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,GS-04P-LNC00459,17,Public Buildings Service (PBS),4NC0199,PBS Center for Broker Services (47PA05),AWARD,0804
Department of Commerce,b6795fee-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institute of Standards and Technology (NIST),SB1341-17-RQ-0553,Acquisition Management Division,COMBINE  ,0719
Department of the Air Force,b635f8ce-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Education and Training Command,F2XTA17194A001,Maxwell AFB Contracting Squadron,SRCSGT,0807
Department of the Air Force,b635f8ef-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Space Command,FA255017T2010,50 CONTRACTING SQUADRON,COMBINE  ,0726
Department of Commerce,b6795ff0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SB1341-17-SU-0486,17,National Institute of Standards and Technology (NIST),SB1341-17-RQ-0659,Acquisition Management Division,AWARD,0810
